Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"PCB","Where everything is on top of",1,2.00,"","JLCPCB"
"VL53L1CXV0FY/1","Proximity Sensor",1,5.77,"https://www.digikey.com/en/products/detail/stmicroelectronics/VL53L1CXV0FY-1/8258055","Digikey"
"CONN HEADER VERT 1POS 2.54MM","Connection from battery pack",10,0.29,"https://www.digikey.com/en/products/detail/adam-tech/PH1-01-UA/9830231","Digikey"
"RES 110 OHM 5% 1/8W AXIAL","Resistor",10,0.22,"https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF18JT110R/1741570","Digikey"
"DIODE SCHOTTKY 20V 1A DO41","Prevent reverse flow into batteries",1,0.18,"https://www.digikey.com/en/products/detail/smc-diode-solutions/1N5817/21705460","Digikey"
"XIAO RP2040","MC",1,4.68,"https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/102010428/14672129","Digikey"
"RES 4.7K OHM 5% 1/8W AXIAL","Resistor",10,0.20,"https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF18JT4K70/1741708","Digikey"
"CONN HDR 4POS 0.1 GOLD PCB","4 Pin connector",1,0.38,"https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPPC041LFBN-RC/810176","Digikey"
"CAP CER 0.1UF 50V Z5U RADIAL","Capacitator",2,0.72,"https://www.digikey.com/en/products/detail/kemet/C315C104M5U5TA/817927","Digikey"
"RES 10K OHM 5% 1/4W AXIAL","Resistor",10,0.20,"https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF14JT10K0/1741265","Digikey"
"BATT HOLDER AA 3 CELL 6"" LEADS","Hold Batteries",1,1.76,"https://www.digikey.com/en/products/detail/keystone-electronics/2465/303814","Digikey"
"LED RED DIFFUSED 5MM ROUND T/H","For light",1,0.16,"https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/151051RS11000/4490012","Digikey"
